destination_latitude,destination_longitude,schedule,expense,people,age,hometown_latitude,hometown_longitude,tendency_activity,tendency_preview,start_time,finsh_time
33.95180204,126.3906485,6,1097989,3,24,34.55341434,126.1081142,100,0,8,17
33.67623619,126.4710532,4,1370893,4,26,34.73679932,126.7948217,52,48,8,19
35.32792577,126.3485263,4,1262164,5,25,34.00936768,126.4504592,41,59,9,19
35.95613876,126.1317434,3,1668744,3,20,33.68067988,126.7449626,30,70,7,19
35.55785136,126.0215041,7,1395280,5,34,35.72787188,126.3585189,73,27,7,21
35.95539615,126.2519834,7,1982271,3,20,34.24278766,126.5848677,8,92,8,18
34.05935175,126.5066076,4,1437186,4,23,33.88005654,126.1781556,62,38,6,17
34.1941459,126.9822929,6,1075817,4,33,34.84042135,126.3341605,81,19,9,22
35.06371037,126.6636966,7,1783234,4,34,33.31629574,126.3090643,17,83,8,17
33.65056749,126.987661,6,1630768,3,23,33.55374913,126.4411413,77,23,8,19
35.88925746,126.7300496,2,1429185,2,29,35.83661675,126.3090991,42,58,6,17
33.58054232,126.8136039,7,1172415,2,24,34.90536076,126.5468344,45,55,9,18
33.28128152,126.0258633,4,1538994,4,26,35.49280538,126.8362855,4,96,9,17
33.5321476,126.957479,10,1809780,4,29,35.23546293,126.7462638,8,92,7,22
35.23760665,126.8366496,2,1369435,4,31,33.22907411,126.8711295,29,71,10,17
35.36872631,126.3008748,2,1617649,3,34,35.92166143,126.0603896,62,38,6,20
34.59102976,126.9108642,8,1394625,2,34,33.69619544,126.6559524,10,90,10,21
34.01139235,126.6430687,2,1539310,3,25,34.49448124,126.8195664,93,7,9,18
33.38959855,126.6217318,3,1500234,5,26,34.67261122,126.2332807,20,80,7,17
34.74645809,126.0807704,1,1036953,5,32,35.19081456,126.0260558,66,34,9,22
33.17184481,126.725596,5,1414234,5,27,33.49760974,126.2664054,72,28,7,18
34.03400557,126.9755917,4,1345517,3,28,34.17601831,126.3105261,55,45,6,16
33.18733058,126.4823301,7,1422586,5,35,34.37769242,126.2716351,28,72,6,17
35.5696776,126.7505333,4,1430201,2,20,33.37713359,126.7304756,49,51,7,16
33.14315787,126.9314851,5,1074236,4,21,33.92901416,126.7961584,43,57,9,16
34.90224757,126.6836136,2,1627164,3,34,33.37226385,126.0419059,59,41,10,19
33.15365945,126.4314603,5,1851902,2,23,33.43540083,126.2089758,6,94,9,18
34.48765375,126.5748059,4,1588286,4,30,34.39039594,126.7597612,92,8,9,17
35.3738543,126.1180115,5,1694112,2,27,35.57840915,126.5218084,87,13,9,22
35.01044325,126.4762168,7,1510674,4,30,34.00186922,126.5815405,9,91,6,18
34.30873916,126.7353767,1,1862085,2,25,34.36128751,126.7851567,17,83,9,16
35.38566714,126.3651783,3,1817236,4,30,35.74281063,126.4259292,43,57,6,22
35.90318325,126.1309582,8,1959650,4,33,35.78458134,126.726545,44,56,10,18
35.29125411,126.540606,4,1480407,2,26,33.84193389,126.6334905,35,65,7,19
34.58223147,126.5960505,8,1779722,4,32,33.63922822,126.8034009,24,76,10,16
35.4590986,126.3985191,5,1990959,5,25,34.64990636,126.3329011,51,49,9,17
34.4614812,126.7637581,10,1287092,4,32,33.42577682,126.9249121,28,72,6,18
34.66498246,126.4875121,6,1218767,3,26,34.65057652,126.0094908,71,29,9,17
35.84363853,126.1999111,3,1324162,2,34,35.33439426,126.7742742,33,67,6,19
33.97616133,126.7534492,2,1652328,2,24,33.23901294,126.6073372,39,61,6,17
35.25107693,126.397386,6,1040631,4,28,34.4045061,126.9206174,90,10,6,20
33.26826381,126.7376374,5,1477524,2,21,34.31680647,126.5817892,93,7,10,22
33.99711419,126.1980784,1,1932440,3,31,34.64485741,126.5970474,90,10,8,17
35.85120832,126.829087,5,1498704,2,20,34.53027466,126.1684873,13,87,8,19
33.66289564,126.0439909,2,1166766,3,20,34.43609596,126.2106921,11,89,6,17
35.93984008,126.3463821,8,1187737,4,32,34.59784922,126.6477243,83,17,9,21
34.89497434,126.5257658,4,1027726,3,22,33.37109509,126.5985336,77,23,8,20
33.87220563,126.3156838,6,1056297,5,31,35.15109214,126.759634,5,95,10,22
33.35772056,126.1423554,10,1251333,5,30,33.09738386,126.8967019,78,22,6,19
35.81962202,126.301674,3,1282369,5,35,33.31098507,126.9595718,76,24,7,18
35.82820631,126.6799319,3,1643997,5,22,34.71183938,126.627183,39,61,9,20
33.8722421,126.1890701,2,1661633,5,26,33.67936194,126.5819664,93,7,9,16
35.87078484,126.5323,2,1518532,3,26,34.6409007,126.1388543,60,40,6,21
34.70238359,126.8447209,3,1871539,2,22,34.39921213,126.5369365,34,66,6,16
33.36517718,126.3412851,5,1867141,5,22,35.19445201,126.3736966,48,52,7,19
33.58099545,126.3461054,6,1269274,4,24,33.85172678,126.4903093,26,74,8,20
33.03986416,126.4122717,1,1686567,5,26,33.80653503,126.3657204,30,70,6,22
34.31603975,126.6252341,9,1489953,5,26,33.06841347,126.7507816,93,7,6,18
34.43700285,126.2779142,5,1684964,3,25,33.39172363,126.0665318,68,32,10,17
34.33512606,126.6534059,1,1887355,2,24,35.04093981,126.5940568,35,65,10,18
33.25092792,126.3305671,4,1158498,2,31,35.66574581,126.6595812,27,73,10,16
35.40998062,126.7477089,10,1456350,4,30,33.6247801,126.9946842,32,68,8,17
34.9924224,126.4527696,8,1227292,3,21,34.74053396,126.6649016,46,54,8,16
35.28511422,126.9228671,9,1554268,3,22,34.38186806,126.2584751,38,62,7,18
34.40857685,126.2975728,4,1542530,5,29,33.38946944,126.5208385,45,55,7,17
34.13403513,126.7077799,9,1972024,2,34,34.04366596,126.9219711,2,98,10,21
33.42337362,126.5670789,8,1123841,4,26,35.50159293,126.6181897,83,17,7,18
33.51810899,126.0586558,1,1378408,3,29,34.7350337,126.5664889,8,92,8,19
35.71344756,126.6931506,2,1885587,4,31,35.93549904,126.7984018,40,60,10,20
33.58988005,126.0845685,1,1920406,5,33,33.58962152,126.1441263,45,55,6,19
34.10545135,126.8592779,8,1337681,2,27,33.71307847,126.4971638,29,71,9,21
34.33146347,126.2499582,6,1674307,3,30,33.65422176,126.210883,43,57,6,16
33.8472027,126.2461224,7,1123074,4,24,34.60230342,126.5311994,80,20,10,18
33.30908311,126.1742039,10,1356129,2,20,35.77201746,126.3270158,56,44,8,20
35.89259605,126.979681,10,1435545,5,25,35.34271092,126.4725708,65,35,7,17
33.01738741,126.7586966,7,1255402,3,23,35.34463126,126.1656546,22,78,10,17
34.63956844,126.4335558,2,1318896,5,26,34.78146752,126.9523639,8,92,6,17
35.28807029,126.0466456,2,1513815,4,27,35.35212983,126.0238452,58,42,10,20
35.55908634,126.1835525,1,1600724,2,20,34.26534264,126.6222116,90,10,7,18
34.73144461,126.4877633,7,1569709,4,31,33.22822106,126.4081183,94,6,7,17
33.19902945,126.0667781,8,1087595,3,24,35.68614056,126.03965,10,90,10,22
35.71310203,126.2644285,4,1971659,3,28,34.08156705,126.6582324,65,35,10,19
34.59302602,126.5269088,3,1658704,2,29,35.97193417,126.9863718,6,94,8,16
33.91742883,126.581935,1,1600986,2,23,33.26019047,126.4274507,79,21,7,21
34.6635029,126.8663842,7,1441040,4,27,33.92915967,126.9946955,5,95,7,17
34.08145133,126.1612895,6,1704224,4,25,33.39179555,126.7948918,36,64,7,19
34.00075242,126.2583076,6,1391694,5,32,34.37971492,126.2540709,26,74,10,17
34.179402,126.5563531,5,1811172,4,30,34.13903819,126.7331514,64,36,8,20
33.43350511,126.1295187,1,1751755,3,28,34.65830579,126.1320701,68,32,6,22
34.564794,126.3592704,5,1320617,3,29,34.2959088,126.9953855,85,15,8,20
33.41824536,126.003073,3,1011140,2,30,33.71682791,126.6345774,85,15,7,22
35.87251429,126.7004037,3,1481510,5,23,34.95402805,126.0604406,49,51,6,19
34.3486792,126.3285148,3,1243495,2,26,33.89022466,126.3122722,3,97,8,17
34.33647346,126.2351475,6,1696988,2,27,33.82599456,126.4736716,1,99,9,16
34.59798748,126.3797017,8,1945185,5,34,34.92799251,126.504605,6,94,8,17
